uuid,b,g,i_max,id,r,v_rated,x
d03eee1c-0c11-41c4-90a3-2743ab894974,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
d3293c00-7bc8-434f-bfc8-b90cc2ff85be,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
f8b5526a-2f8b-4937-864a-4162157a98be,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
7445744d-21dd-46ad-805b-1d8b8a470294,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
f265e497-3a6d-4f96-9329-a7644cd8e785,85.7655029296875,0.0,361.0,MS_3,0.165999993681908,20.0,0.117200002074242
98d23c1c-fd2a-4257-993f-55663b42200b,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
9f3e546f-f81a-4602-8ceb-4401abceb42e,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
5f39d862-cf14-4619-847d-1b77eaa80546,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
9da326a4-b96c-4e3c-bcd2-58be00a460cb,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
0bfe6869-6869-438d-918c-e697955a922f,85.7655029296875,0.0,361.0,MS_3,0.165999993681908,20.0,0.117200002074242
7e6f9030-73ff-4fcb-a384-f71820af1a41,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
a61bace6-0050-436a-8715-0e042a8582f6,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
e745cdd4-1c30-447f-8694-d3b3d2e01a96,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
12ccc9e0-9987-4c1c-b176-84574ab2d262,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
