inhabitants,washing_machine,dryer,dish_washer,stove,fridge,freezer,television,video_recorder,pc,telecommunication,lighting,water_heating,other_load
1,0.894,0.223,0.459,0.927,1.055,0.346,1.166,0.645,1.021,1.935,1,0.097,1
2,1.007,0.431,0.772,1.004,1.282,0.661,1.703,0.923,1.656,3.096,2,0.153,1.5
3,1.032,0.556,0.894,1.036,1.356,0.711,2.034,1.218,2.451,4.063,2.333,0.208,2
4,1.05,0.661,0.961,1.052,1.416,0.796,2.099,1.322,2.743,4.601,2.833,0.25,2.5
5,1.098,0.732,0.988,1.079,1.494,0.904,2.155,1.362,3.133,5.312,3,0.292,3.5

