income,washing_machine,dryer,dish_washer,stove,fridge,freezer,television,video_recorder,pc,telecommunication,lighting,water_heating,other_load
below 900,0.835,0.154,0.306,0.885,1.024,0.286,1.05,0.559,0.953,1.807,1,0.1,1.3
from 900 to 1300,0.924,0.219,0.462,0.926,1.059,0.388,1.232,0.637,1.038,2.093,1.2,0.1,1.4
from 1300 to 1500,0.946,0.269,0.555,0.944,1.099,0.456,1.349,0.721,1.166,2.302,1.8,0.1,1.5
from 1500 to 2000,0.964,0.33,0.645,0.963,1.14,0.515,1.486,0.83,1.352,2.574,2,0.2,1.6
from 2000 to 2600,0.996,0.444,0.77,0.998,1.238,0.635,1.665,0.949,1.656,3.082,2.3,0.2,1.8
from 2600 to 3600,1.02,0.53,0.875,1.03,1.317,0.691,1.871,1.105,2.095,3.644,2.8,0.3,2
from 3600 to 5000,1.041,0.616,0.954,1.068,1.447,0.751,2.03,1.221,2.499,4.177,3,0.3,2.3
from 5000 to 18000,1.075,0.694,1.009,1.099,1.59,0.82,2.15,1.335,3.04,4.708,3.2,0.3,2.8

