uuid,b,g,i_max,id,r,v_rated,x
0ce5f7e7-51b3-4da3-ad12-1c50dc44c6c9,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
58f4e0dc-7dd3-4890-af41-0a1730aa0e1d,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
899d2b91-69bc-46fb-a4bb-0b97c7c8751a,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
a4c7ef55-d178-4967-a6cf-8a762672d27c,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
e4d237c9-b025-4838-8b12-34bbf1265fb9,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
7eb50926-f5b2-4fc4-b293-c679eaf19f65,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
9a7fdf17-f929-42be-98fb-cf5778ce4358,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
c4caf964-fe70-47f4-9596-b52418ee8d39,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
491312ff-b705-4baf-ad5e-139ca62abd13,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
c1eab793-7cb2-44b1-a309-e6a96e5ee80e,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
3654a929-29a8-4945-80df-5fd5a7ab6218,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
a61d2b6a-2ae3-4e87-b69c-d6ef03746edb,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
03877157-9a63-40f9-a4ba-12b86cf2ccd4,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
0ae22511-6661-4a9c-a3b4-62e28f0c6301,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
2c4f86a0-5161-4f3f-b6c6-bcc9c7c0ed4e,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
fa07a917-4d21-4e0b-abc4-527420509063,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
