uuid,day_type,quarter_hour_of_day,probability
dc7ff376-d79c-4cba-a6bf-71c50634a673,weekday,0,0.07407407407407407
55117fb9-fff0-45fd-ac89-b0e1d6cd05f3,weekday,1,0.0
af5fb59b-8978-4a16-8750-a79eb2484401,weekday,2,0.0
fca4993b-83c3-4e9f-8ad6-31f7f98227cb,weekday,3,0.0
33217023-ed23-4607-8a48-00eb809177bb,weekday,4,0.0
42c8b32d-384b-43ad-a649-1c24b057803d,weekday,5,0.0
6d0ad932-bcb7-4078-8a81-8d79522da63f,weekday,6,0.0
96d34dce-9eac-4302-813f-ef2b0bbe1917,weekday,7,0.07692307692307693
4da15985-f620-479e-97f4-c47885eb81c4,weekday,8,0.08333333333333333
4e912236-5e1e-485b-831a-e0132e453853,weekday,9,0.0
c8c03d97-4157-47af-8eac-4c5466ffba01,weekday,10,0.0
cadf3019-dfc9-43a8-8ac3-f286b1441018,weekday,11,0.0
a3cfdfdd-a677-4359-b5ad-a1fe5f0bd45c,weekday,12,0.0
27e522c6-5330-409c-90e3-88495ad4adac,weekday,13,0.0
8d0e015e-7317-49a8-b6eb-b5291eef5c45,weekday,14,0.0
29a9efbe-798a-4176-af4a-4ff3515af1a7,weekday,15,0.0
2360fd37-9b44-4720-88e1-b90970cd42ec,weekday,16,0.3333333333333333
a889a191-302d-45ef-ae2f-1e2d6cbd8262,weekday,17,0.0
8ac75d33-9326-4495-bb1f-c01dcfc380d4,weekday,18,0.0
5ca17294-475b-405b-8738-6fc17756c62b,weekday,19,0.25
a786f4f4-fb60-49ea-a129-068106dc41da,weekday,20,0.46153846153846156
a90e07d7-5a3e-40f4-ac9c-6cee91a9a435,weekday,21,0.5714285714285714
5ccbe475-45a7-434f-9392-0fa13318b854,weekday,22,0.2857142857142857
930b1141-bece-4a20-9d1e-55ef867281b8,weekday,23,0.04
04fbd9a1-dae0-4bfd-b66a-ab40310195da,weekday,24,0.25
9ee10f98-d1c8-4166-8636-497319a9b380,weekday,25,0.05555555555555555
cb4e8571-81a0-47b7-a502-efe8da6856a5,weekday,26,0.2222222222222222
aa21166b-3e6d-4f2f-bd3a-228b8845fdde,weekday,27,0.15254237288135594
5296db23-12cb-4523-b0a0-3225e1a42c84,weekday,28,0.23076923076923078
bf6b1ec7-6374-48d4-8c05-2711a3cddbe7,weekday,29,0.20754716981132076
055596f1-f36b-44ea-98a3-a6b272905eb2,weekday,30,0.15656565656565657
218091ac-fa95-49c4-951a-80ef02556048,weekday,31,0.13114754098360656
4a081c6e-96bc-4892-9bee-9d9d9be5a75a,weekday,32,0.21548821548821548
09874ef0-9e94-4c82-b8b1-7595d71c3e6a,weekday,33,0.22006472491909385
63ed6792-8810-4d15-8d05-4bb40748ba7a,weekday,34,0.22972972972972974
e2d7b2f0-23b9-40c6-a882-89d1cf47ecea,weekday,35,0.2885714285714286
34df77dc-767d-4b52-9458-9af263b1ed7d,weekday,36,0.3327922077922078
13991d14-f4e5-4097-9c6e-fb09a6deb82f,weekday,37,0.3412526997840173
d305ebc1-bcc5-494a-b8ab-a307b0f031c4,weekday,38,0.3676680972818312
c1589620-630a-4641-a1e7-e10c8511b47c,weekday,39,0.4280639431616341
1775f061-2a63-4938-9a0d-1fb6530416ef,weekday,40,0.4487562189054726
bd0ce524-579e-4e39-857b-f7207e0d4a86,weekday,41,0.48717948717948717
7152649f-2589-4808-a9fc-ea7ce2496e03,weekday,42,0.4782608695652174
ccabfa27-5282-44a2-b755-7eaf92566ee7,weekday,43,0.4878048780487805
8ca2dff3-9ea9-486b-911e-d9d68417c847,weekday,44,0.48842592592592593
4571aef3-0373-49ab-9620-89f1feba9881,weekday,45,0.5274223034734917
7392dd6e-1f60-4444-ae16-92e408e50ffe,weekday,46,0.49246889325474785
ff7375a4-3115-432a-b954-43a846676497,weekday,47,0.5217391304347826
27066cb5-dd50-4e35-8e64-b737b7c647f3,weekday,48,0.47032772364924713
95e29b0e-4ee5-4c55-b8cb-b32672f0a0a4,weekday,49,0.5110410094637224
c2d21ba8-8dfb-4970-a661-d0e675135362,weekday,50,0.48181309457190824
b4fb38a8-53cb-411a-b5a0-e6872b8fd6ea,weekday,51,0.5111583421891605
8ad560b0-dcda-4e52-a17e-1933f4d580bc,weekday,52,0.5013550135501355
cae9675f-1e7d-4c73-89e4-840b7339cb7a,weekday,53,0.5122669283611384
7658614a-0353-4b30-9518-b317b125b562,weekday,54,0.5850832729905865
8376c85c-fb56-44db-8f73-71e6eb41e92c,weekday,55,0.5990621336459554
7fb0a4d1-e153-4579-b443-2fa51aa36687,weekday,56,0.5936936936936937
6e23345d-ee76-492f-aa70-84a095f3d360,weekday,57,0.6328871892925431
5af35912-d00e-4f09-b2cd-95b75fb516b4,weekday,58,0.649577804583836
69e2f487-9aef-4350-a74a-5bf5bd3679a2,weekday,59,0.6816443594646272
c34157c9-186a-40ba-964f-46ca03e50839,weekday,60,0.6742081447963801
fc406470-0847-4e95-81c2-72d2808e5dc9,weekday,61,0.7009273570324575
23a440bb-773e-482f-8535-3b6959c426be,weekday,62,0.6950291088222122
d2d1cff7-d68d-46ef-9d1d-662772af1609,weekday,63,0.7272113436866982
2f7251d3-8420-4962-b406-410e630d688d,weekday,64,0.7401023431187719
c17c2c4a-62ed-4190-9b98-2d0b95d6f6b1,weekday,65,0.7436046511627907
7a9a3a1f-0dd5-4c3b-97a9-c93febc462c5,weekday,66,0.7470899470899471
8d7cde9c-7ee6-4e70-bb23-58afa86cafd4,weekday,67,0.7814276689829438
6fab4b2e-787d-4ee4-ac01-a8292b8a8b40,weekday,68,0.8104388470527136
c6b480e7-5bd9-4072-9ebe-0bd0fe07bcb4,weekday,69,0.8047785547785548
6202c24d-c272-4942-8192-2cf5ecd9aa27,weekday,70,0.8513679052674561
f3126e81-ac24-4f76-b749-2d410df8e841,weekday,71,0.8535249828884326
c11a8b77-32a2-4358-a724-e170b54b60df,weekday,72,0.8782072101331602
aa058060-3ed2-4c4b-9a32-d4ce37cd31e6,weekday,73,0.9007246376811594
e5f6d813-ff06-479a-b4ac-cf037adacce5,weekday,74,0.8916046758767269
5bd4d9c2-611d-468e-860b-9f43be698db4,weekday,75,0.9200779727095516
f9792e85-118e-48a9-8c85-69d748205a66,weekday,76,0.945125199786894
db13ccf8-efe6-4e2f-ac34-60670d83153c,weekday,77,0.9475524475524476
3ef758d4-1b64-41e0-a93c-e8ccf6f03ab9,weekday,78,0.9656582174979559
0f7e9374-49df-4e8a-bf55-119271eaaa98,weekday,79,0.9730878186968839
d069921c-a8d9-46fe-a414-8a835c7044ff,weekday,80,0.9788359788359788
7f831f08-4b70-4197-b590-afd8c4151f04,weekday,81,0.9898132427843803
efa92958-7768-498f-a183-7a3576157c10,weekday,82,0.9766839378238342
8c3e43c3-aad3-4f3c-a0c7-449c0e610eb2,weekday,83,0.9785202863961814
ed5c70e6-b287-4c13-b025-066e92d3edb4,weekday,84,0.9866412213740458
c9889d7d-6c8f-4395-af37-aea072ccc864,weekday,85,0.9904988123515439
c103758f-3ebc-42ea-acf5-495226ddb056,weekday,86,0.9919028340080972
bb3ce8c2-9452-4672-89a1-f18835e77c58,weekday,87,0.9949238578680203
af9bd796-6d52-40e2-8021-d3ab75172204,weekday,88,0.9913793103448276
a0718f3a-55bf-48ad-8d67-bf60d5fb7111,weekday,89,0.9946524064171123
a0f37cce-ca41-40fe-b488-f8b9b4e36d24,weekday,90,0.9886363636363636
c2848c98-d30a-4c93-8f86-0bfe82a2150c,weekday,91,0.9900497512437811
8fbe3695-06bd-494e-b7a1-a48944b58a15,weekday,92,0.9955654101995566
4334e137-595e-4af6-be8e-0a812d38a851,weekday,93,0.9929078014184397
c17c2270-f47c-419c-b6a1-9d59bf7e4d26,weekday,94,1.0
a2e66173-710a-444b-a17e-962f6e966a99,weekday,95,0.9937106918238994
