uuid,day_type,quarter_hour_of_day,from,to,probability
828b3311-bf27-4272-9ca5-2327964b7674,weekday,2,shopping,leisure,0.2
ac97214d-c78f-4dd3-87d7-e1143ca500c5,weekday,2,shopping,other,0.2
322d2e89-a33c-4c59-adf5-4c414a8fcdd0,weekday,2,leisure,home,0.2
25b508bb-e402-4e6b-b8d3-9e10e5810c3e,weekday,2,leisure,work,0.2
7b54c5af-a3ab-41c9-aaf7-a12b5fe95deb,weekday,2,leisure,shopping,0.2
68bfca0a-d1a9-4131-a87a-2200fdd5505d,weekday,2,leisure,leisure,0.2
e247ed80-19ca-4c1a-b88d-669a1257abe6,weekday,2,leisure,other,0.2
d8cee0ad-e810-4305-996c-f0c8af8c191a,weekday,2,other,home,1.0
8a1be8fd-47eb-424f-bdb4-13fc4b256223,weekday,2,other,work,0
c0abdc94-9811-4d01-ae17-2bd04b8db5b4,weekday,2,other,shopping,0
75c42a80-2696-49ec-994f-f5790643b65d,weekday,2,other,leisure,0
c8fbc20e-9bd8-4be3-9d2c-cb899cd2b6cd,weekday,2,other,other,0
29c146eb-6a73-4ef8-9032-3f6f34af2308,weekday,3,home,home,0.75
13bcf6f2-bb37-4128-a792-bc66694cc112,weekday,3,home,work,0.25
ec3c12a0-55e2-4980-bb0d-23e5dd4e8a7f,weekday,3,home,shopping,0
aef4010d-5dd7-496b-a9a9-c220e81f2269,weekday,3,home,leisure,0
04b6c43a-e784-4ad0-bf94-166041dc8f87,weekday,3,home,other,0
0ea5afd6-dda8-42d3-be0c-61751fc040c7,weekday,3,work,home,0.2
9da2f207-1c8e-47d9-9912-4a830340671c,weekday,3,work,work,0.2
25c10342-7e68-4dfd-a5b9-1e5f9a2f3b21,weekday,3,work,shopping,0.2
fc6cef13-8bf6-40ce-8324-27247101c07b,weekday,3,work,leisure,0.2
a5a32d75-48da-432a-af5f-79f769916c42,weekday,3,work,other,0.2
e06975ef-cfa9-417c-8fae-31a08e1609b8,weekday,3,shopping,home,0.2
5e4e014b-f66c-4277-86ad-84f80a653aa2,weekday,3,shopping,work,0.2
f0cbc8c2-3dd5-45c1-abb9-c47111b2d09c,weekday,3,shopping,shopping,0.2
46fd3401-4f13-4fa6-ba15-db8500112341,weekday,3,shopping,leisure,0.2
3c4f3471-f102-40cd-bad2-8868583595e2,weekday,3,shopping,other,0.2
f4ae6162-d5fa-4aec-a116-a4a5829a6cfc,weekday,3,leisure,home,0.2
ee03132b-d97c-418e-8716-5d52f315e875,weekday,3,leisure,work,0.2
4c950bf4-0c89-431f-aabb-bcbe14595216,weekday,3,leisure,shopping,0.2
005f9486-efcf-4d20-9fd3-fd26e5d87969,weekday,3,leisure,leisure,0.2
970c7da3-e8e4-4fb1-9cbb-6d4124c5ac0c,weekday,3,leisure,other,0.2
edd7cf5a-6da4-42fb-891e-4490c70b3a99,weekday,3,other,home,1.0
8c7a2c64-de0d-473c-be9d-6070bc4627ac,weekday,3,other,work,0
e38bbaa6-2f10-43b8-b873-88e1cea3961a,weekday,3,other,shopping,0
72787801-1ec0-4709-8777-8461903e985d,weekday,3,other,leisure,0
