uuid,day_type,time,poi_type,categorical_location,probability
b0587fb8-fb5d-4f51-8583-6ed06973e7bf,weekday,5:00-10:00,shopping,supermarket,0.4231166150670795
a138b74e-1651-4030-8e4c-7f196bc37044,weekday,5:00-10:00,shopping,other_shop,0.09872721018231854
37a77959-e49c-4d3c-b17d-4e76c30352d5,weekday,5:00-10:00,shopping,medicinal,0.3151014791881665
0ddff799-faec-4c64-a97e-ae8876a52560,weekday,5:00-10:00,shopping,home,0.04489164086687306
3738cbad-491d-459a-ae77-b8f1f8840c72,weekday,5:00-10:00,shopping,services,0.06019951840385277
785dc844-e464-4081-afaa-9c223cca0db2,weekday,5:00-10:00,shopping,bbpg,0.04540763673890609
b7d322a1-32d0-4326-b442-f96d1deb0ffe,weekday,5:00-10:00,shopping,religious,0.010147918816649467
370b083f-4c41-476e-829f-6f1685969f13,weekday,5:00-10:00,shopping,restaurant,0.002407980736154111
f60b8e5b-8b8a-4333-873e-96b2d6d3371a,weekday,5:00-10:00,shopping,sports,0
00b4ff36-7348-446e-a329-d4fb31cced47,weekday,5:00-10:00,shopping,culture,0
8a627b2c-c6f6-4f43-9fec-e279a39f4a73,weekday,10:00-12:00,shopping,supermarket,0.46771177908816336
b318c6d0-d4ee-459f-9443-db2aa222e112,weekday,10:00-12:00,shopping,other_shop,0.17661441104559183
7e1b9a7f-d29e-460a-8317-14d705749af0,weekday,10:00-12:00,shopping,medicinal,0.17819646195886668
a77f2fc5-f9b0-493a-90f0-526eb74c85d8,weekday,10:00-12:00,shopping,home,0.0488997555012225
3a77dedf-1f0f-46e1-a628-6caf7e70f059,weekday,10:00-12:00,shopping,services,0.05278297137926075
7419d566-d4ee-42bf-a7f4-6ffc9a6bb17b,weekday,10:00-12:00,shopping,bbpg,0.05378973105134474
f50f8149-ac88-4b02-950e-ed369832044f,weekday,10:00-12:00,shopping,religious,0.01481374946066446
c72302d8-82ff-4557-8baf-51bcba8f7937,weekday,10:00-12:00,shopping,restaurant,0.0071911405148856605
2deba297-c4db-4eac-a7d1-5c8bd292b256,weekday,10:00-12:00,shopping,sports,0
64f470c5-ffdc-4d1a-9d32-0e389bf8fe33,weekday,10:00-12:00,shopping,culture,0
9258a18a-b7ae-42a6-9084-3c3f73366977,weekday,12:00-14:00,shopping,supermarket,0.46362229102167185
9bb2ce7b-2e2f-4fc7-a774-c4e25e55e1a4,weekday,12:00-14:00,shopping,other_shop,0.19349845201238391
91bbd403-fcf3-475f-bcc6-0f1fa2fcecde,weekday,12:00-14:00,shopping,medicinal,0.10165118679050568
b40c6f5b-17be-4533-b7e0-7b1fe96fdb9d,weekday,12:00-14:00,shopping,home,0.07894736842105263
6169828f-2c9b-477c-a715-c4ef425a3c77,weekday,12:00-14:00,shopping,services,0.05546955624355005
7cefc1cd-eeeb-41df-b8e3-bf6117dccb66,weekday,12:00-14:00,shopping,bbpg,0.04179566563467492
930150bf-64ee-4b73-8b33-dff0205764f3,weekday,12:00-14:00,shopping,religious,0.022961816305469555
ac36467a-e57f-4168-9c35-4e9cb5bb13a6,weekday,12:00-14:00,shopping,restaurant,0.04205366357069144
e769a2a0-7935-40e1-b30f-e4b2bd0e34c3,weekday,12:00-14:00,shopping,sports,0
bf118963-855c-4e04-b479-d2ca7cbcba45,weekday,12:00-14:00,shopping,culture,0
bb337f68-f0e3-4afe-b462-26c543c49206,weekday,14:00-18:00,shopping,supermarket,0.43229380385720145
0b581131-8efe-448a-b405-4d1801a60b0f,weekday,14:00-18:00,shopping,other_shop,0.20178498153467378
474b8431-fe90-4e0c-af97-2c8d113352f9,weekday,14:00-18:00,shopping,medicinal,0.12679524004924086
5355db63-2c58-41c1-864e-ceac3a76de92,weekday,14:00-18:00,shopping,home,0.09991793188346328
19f2e4e5-32d3-4d1a-993e-b6ee41aedf08,weekday,14:00-18:00,shopping,services,0.06975789905621665
c4583755-d023-448a-8e31-8c2712f8a2f2,weekday,14:00-18:00,shopping,bbpg,0.042880590890439066
75609f62-423d-491a-9f66-4decdef34545,weekday,14:00-18:00,shopping,religious,0.017439474764054164
1ae1331f-a7d8-4095-b2a5-14cf95f0bf2d,weekday,14:00-18:00,shopping,restaurant,0.00913007796471071
