uuid,b,g,i_max,id,r,v_rated,x
a7071b97-2be4-40bf-a0b1-b8faf6bff6d6,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
4ee89e0b-1e97-4dde-ba57-3b0b862957c5,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
cde5f3a8-4a99-49b7-a7e7-b73e1c6d8003,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
9312de84-9197-462f-9d69-7d2fea8f7f68,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
1173fa67-2573-4476-aa5e-c3fe756a7f07,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
b63674e1-6827-4e8b-b3e6-34ee6d4823a9,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
3362b510-7d57-44b1-a6cf-8081aac84a5b,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
e0de3267-5ef6-4fcb-83c9-771d53e7fde8,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
567497fb-f77c-4e25-a030-9d40b377711c,191.636993408203,0.0,265.0,NS_3,0.253899991512299,0.4,0.0691149979829788
17e87208-d092-4514-8b23-ab91598798ce,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
b42b9195-4953-403f-8e52-55cc8e653c94,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
6986321a-0a85-411e-8b2d-9d929a7f298b,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
9db7e41e-7360-4529-bbdb-dbd220117f61,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
ea01036f-5b25-47dd-98e3-0d944fd2e670,185.35400390625,0.0,235.0,NS_2,0.319999992847443,0.4,0.0691149979829788
e2ee2ab1-8e22-41be-9a1f-cfdee99d611e,163.363006591797,0.0,195.0,NS_1,0.442999988794327,0.4,0.0722566023468971
